persona_id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30
s1,4,4,7,7,7,2,2,2,1,7,7,4,4,7,1,2,4,2,1,4,4,4,1,7,7,4,4,2,1,7
s2,4,2,4,4,5,1,7,4,2,4,4,4,4,4,7,5,4,4,4,4,4,4,4,4,7,5,4,1,2,4
s3,4,4,4,4,4,4,4,4,7,4,4,4,4,7,4,5,4,4,4,4,4,4,4,7,7,4,4,4,7,7
s4,4,1,4,1,2,1,7,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,4
s5,4,4,2,7,4,1,2,7,2,4,7,5,4,2,4,4,4,1,4,4,4,4,1,7,7,4,6,4,4,4
s6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
s7,4,7,7,7,7,1,1,4,1,7,1,7,4,7,7,1,5,7,7,7,4,7,7,1,7,4,1,1,7,7
s8,4,7,7,4,4,1,2,7,1,7,7,7,4,1,1,2,4,7,7,7,4,7,1,7,7,7,4,1,7,1
s9,4,1,7,7,7,1,2,4,1,7,7,4,4,7,7,1,5,7,5,5,4,4,4,7,7,7,6,7,7,6
s10,4,1,4,7,7,4,4,4,7,4,4,4,4,4,4,7,4,4,4,4,4,4,4,7,7,7,4,4,4,4
s11,4,5,5,7,4,7,4,7,7,5,7,4,5,1,1,1,7,1,5,5,4,5,4,7,5,7,5,1,7,6
s12,2,1,2,5,5,1,2,1,2,7,1,1,4,4,7,4,4,4,1,4,2,4,4,4,7,4,4,4,2,2
s13,4,4,2,4,1,7,7,4,1,4,1,1,4,2,7,7,4,4,4,4,4,4,4,7,7,1,7,1,2,2
s14,4,1,4,7,4,1,2,7,1,5,5,4,4,7,1,7,5,7,7,4,4,7,4,7,5,4,1,1,7,1
s15,4,4,1,4,1,7,7,2,2,7,2,4,4,1,7,1,4,4,4,4,4,2,2,2,7,1,2,1,2,2
s16,4,7,4,7,7,7,2,7,2,5,1,7,4,7,1,7,7,7,7,4,4,7,4,4,7,4,4,7,7,6
s17,4,1,5,7,5,2,2,6,5,5,1,7,4,2,1,2,5,4,4,5,4,7,4,7,7,4,4,1,7,1
s18,4,7,4,4,4,7,4,7,2,4,7,4,4,1,4,4,4,7,4,4,4,4,4,7,7,7,4,4,4,7
s19,7,7,7,7,7,1,1,7,1,7,7,4,7,7,7,7,7,5,7,4,4,7,1,7,7,7,1,7,7,7
s20,4,2,7,5,7,7,7,1,2,7,2,4,2,2,7,1,4,1,2,2,2,5,6,2,1,1,2,1,2,2
s21,4,4,1,1,4,4,4,4,4,1,4,4,5,1,4,4,4,1,4,4,4,4,4,4,7,4,5,4,4,4
s22,4,2,7,4,6,1,2,4,1,4,7,4,4,1,7,2,5,1,2,5,4,4,2,7,7,4,5,1,1,7
s23,4,1,7,7,4,2,2,6,1,5,7,4,2,1,1,7,5,7,4,4,4,1,7,7,5,7,4,5,7,6
s24,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,5,4,4,5,4,4,4,4,5,4,4,4,4,4
s25,4,2,4,4,5,1,7,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,5,1,4,4,2,4
s26,4,1,4,7,7,1,4,7,7,4,7,1,1,1,1,7,7,2,1,4,1,5,7,7,5,7,6,7,7,7
s27,2,7,1,5,1,1,2,6,1,5,1,7,4,1,7,3,4,1,4,2,2,4,2,7,7,1,2,5,5,5
s28,4,4,4,4,4,1,2,4,4,4,5,4,4,2,5,2,4,4,4,5,4,4,2,4,4,4,4,4,2,4
s29,4,4,7,1,5,1,2,6,2,4,7,4,2,1,7,7,1,4,4,4,4,7,1,1,7,5,2,7,5,1
s30,2,2,2,4,5,1,6,2,2,1,2,4,2,1,4,2,6,4,4,5,4,4,4,4,2,2,4,4,2,4
