Model:    gemma3:4b
Pairs:    30 / 30
Personas: 50 (synthetic (instruments/synthetic_personas.json))
Total:    1500 prompts
Mode:     remote (Orin)

Connected to Orin server.

  [1/1500] B01 → 3  EV=3.05
  [2/1500] B02 → 7  EV=5.52
  [3/1500] B03 → 3  EV=3.30
  [4/1500] B04 → 3  EV=2.91
  [5/1500] B05 → 7  EV=6.39
  [6/1500] B06 → 7  EV=6.55
  [7/1500] B07 → 7  EV=6.24
  [8/1500] B08 → 3  EV=2.68
  [9/1500] B09 → 3  EV=4.19
  [10/1500] B10 → 7  EV=6.75
  [11/1500] B11 → 3  EV=4.22
  [12/1500] B12 → 7  EV=6.78
  [13/1500] B13 → 3  EV=3.87
  [14/1500] B14 → 7  EV=6.50
  [15/1500] B15 → 1  EV=1.74
  [16/1500] B16 → 1  EV=2.10
  [17/1500] B17 → 3  EV=3.29
  [18/1500] B18 → 3  EV=3.44
  [19/1500] B19 → 7  EV=5.19
  [20/1500] B20 → 2  EV=3.61
  [21/1500] B21 → 7  EV=6.45
  [22/1500] B22 → 3  EV=2.65
  [23/1500] B23 → 7  EV=6.57
  [24/1500] B24 → 7  EV=6.06
  [25/1500] B25 → 7  EV=6.62
  [26/1500] B26 → 1  EV=3.43
  [27/1500] B27 → 2  EV=1.87
  [28/1500] B28 → 3  EV=3.21
  [29/1500] B29 → 7  EV=6.45
  [30/1500] B30 → 7  EV=6.96
  [31/1500] B01 → 3  EV=3.00
  [32/1500] B02 → 3  EV=3.00
  [33/1500] B03 → 3  EV=3.00
  [34/1500] B04 → 3  EV=3.00
  [35/1500] B05 → 3  EV=3.00
  [36/1500] B06 → 3  EV=2.86
  [37/1500] B07 → 3  EV=3.00
  [38/1500] B08 → 3  EV=3.00
  [39/1500] B09 → 3  EV=3.00
  [40/1500] B10 → 3  EV=3.00
  [41/1500] B11 → 3  EV=3.00
  [42/1500] B12 → 3  EV=3.00
  [43/1500] B13 → 3  EV=3.00
  [44/1500] B14 → 3  EV=3.00
  [45/1500] B15 → 3  EV=2.86
  [46/1500] B16 → 3  EV=2.96
  [47/1500] B17 → 3  EV=3.00
  [48/1500] B18 → 3  EV=3.00
  [49/1500] B19 → 3  EV=3.00
  [50/1500] B20 → 3  EV=3.00
  [51/1500] B21 → 3  EV=3.04
  [52/1500] B22 → 3  EV=3.03
  [53/1500] B23 → 3  EV=3.00
  [54/1500] B24 → 3  EV=3.00
  [55/1500] B25 → 3  EV=3.00
  [56/1500] B26 → 3  EV=3.00
  [57/1500] B27 → 3  EV=3.00
  [58/1500] B28 → 3  EV=3.00
  [59/1500] B29 → 3  EV=3.00
  [60/1500] B30 → 3  EV=3.00
  [61/1500] B01 → 7  EV=6.30
  [62/1500] B02 → 7  EV=5.55
  [63/1500] B03 → 7  EV=6.67
  [64/1500] B04 → 7  EV=5.31
  [65/1500] B05 → 7  EV=6.31
  [66/1500] B06 → 7  EV=6.02
  [67/1500] B07 → 7  EV=6.35
  [68/1500] B08 → 7  EV=6.77
  [69/1500] B09 → 7  EV=6.84
  [70/1500] B10 → 7  EV=7.00
  [71/1500] B11 → 1  EV=1.01
  [72/1500] B12 → 7  EV=7.00
  [73/1500] B13 → 7  EV=7.00
  [74/1500] B14 → 7  EV=7.00
  [75/1500] B15 → 7  EV=6.73
