Model:    phi4-mini:latest
Pairs:    30 / 30
Personas: 400 (synthetic (instruments/synthetic_personas.json))
Total:    12000 prompts
Mode:     remote (Orin)

Connected to Orin server.

  [1/12000] B01 → 1  EV=2.88
  [2/12000] B02 → 1  EV=2.18
  [3/12000] B03 → 1  EV=2.68
  [4/12000] B04 → 2  EV=3.28
  [5/12000] B05 → 2  EV=2.30
  [6/12000] B06 → 1  EV=1.77
  [7/12000] B07 → 1  EV=2.20
  [8/12000] B08 → 2  EV=3.40
  [9/12000] B09 → 2  EV=3.10
  [10/12000] B10 → 3  EV=3.25
  [11/12000] B11 → 2  EV=3.26
  [12/12000] B12 → 1  EV=3.17
  [13/12000] B13 → 2  EV=3.71
  [14/12000] B14 → 2  EV=2.88
  [15/12000] B15 → 3  EV=3.15
  [16/12000] B16 → 2  EV=2.78
  [17/12000] B17 → 6  EV=4.16
  [18/12000] B18 → 1  EV=2.77
  [19/12000] B19 → 1  EV=3.23
  [20/12000] B20 → 2  EV=3.23
  [21/12000] B21 → 2  EV=3.30
  [22/12000] B22 → 2  EV=3.19
  [23/12000] B23 → 6  EV=5.09
  [24/12000] B24 → 2  EV=3.47
  [25/12000] B25 → 1  EV=2.89
  [26/12000] B26 → 1  EV=2.80
  [27/12000] B27 → 2  EV=2.73
  [28/12000] B28 → 3  EV=2.99
  [29/12000] B29 → 1  EV=2.42
  [30/12000] B30 → 2  EV=3.59
  [31/12000] B01 → 6  EV=5.88
  [32/12000] B02 → 6  EV=5.66
  [33/12000] B03 → 6  EV=4.75
  [34/12000] B04 → 6  EV=5.49
  [35/12000] B05 → 6  EV=3.98
  [36/12000] B06 → 1  EV=1.90
  [37/12000] B07 → 4  EV=3.42
  [38/12000] B08 → 6  EV=5.00
  [39/12000] B09 → 6  EV=3.52
  [40/12000] B10 → 6  EV=5.74
  [41/12000] B11 → 1  EV=2.07
  [42/12000] B12 → 6  EV=5.79
  [43/12000] B13 → 6  EV=5.75
  [44/12000] B14 → 6  EV=4.58
  [45/12000] B15 → 3  EV=3.41
  [46/12000] B16 → 6  EV=3.82
  [47/12000] B17 → 6  EV=4.57
  [48/12000] B18 → 6  EV=4.33
  [49/12000] B19 → 6  EV=5.19
  [50/12000] B20 → 6  EV=4.29
  [51/12000] B21 → 6  EV=4.29
  [52/12000] B22 → 6  EV=5.59
  [53/12000] B23 → 6  EV=5.31
  [54/12000] B24 → 6  EV=3.72
  [55/12000] B25 → 1  EV=3.10
  [56/12000] B26 → 2  EV=3.09
  [57/12000] B27 → 1  EV=3.21
  [58/12000] B28 → 6  EV=4.27
  [59/12000] B29 → 6  EV=4.37
  [60/12000] B30 → 6  EV=4.46
  [61/12000] B01 → 1  EV=3.13
  [62/12000] B02 → 1  EV=2.91
  [63/12000] B03 → 4  EV=3.11
  [64/12000] B04 → 2  EV=3.29
  [65/12000] B05 → 4  EV=4.10
  [66/12000] B06 → 1  EV=3.13
  [67/12000] B07 → 4  EV=3.51
  [68/12000] B08 → 1  EV=2.71
  [69/12000] B09 → 4  EV=3.69
  [70/12000] B10 → 1  EV=3.63
  [71/12000] B11 → 4  EV=3.81
  [72/12000] B12 → 1  EV=3.25
  [73/12000] B13 → 1  EV=2.51
  [74/12000] B14 → 4  EV=2.95
  [75/12000] B15 → 3  EV=3.78
  [76/12000] B16 → 4  EV=3.35
  [77/12000] B17 → 6  EV=4.54
  [78/12000] B18 → 4  EV=3.60
  [79/12000] B19 → 4  EV=3.38
  [80/12000] B20 → 4  EV=3.77
  [81/12000] B21 → 2  EV=3.00
  [82/12000] B22 → 4  EV=3.36
  [83/12000] B23 → 1  EV=2.34
  [84/12000] B24 → 4  EV=3.93
  [85/12000] B25 → 1  EV=3.35
  [86/12000] B26 → 1  EV=3.14
  [87/12000] B27 → 3  EV=3.23
  [88/12000] B28 → 1  EV=2.72
  [89/12000] B29 → 1  EV=3.16
  [90/12000] B30 → 1  EV=2.34
  [91/12000] B01 → 6  EV=5.97
  [92/12000] B02 → 6  EV=6.23
  [93/12000] B03 → 3  EV=3.09
  [94/12000] B04 → 7  EV=5.60
  [95/12000] B05 → 1  EV=2.14
  [96/12000] B06 → 1  EV=1.11
  [97/12000] B07 → 4  EV=3.33
  [98/12000] B08 → 1  EV=4.04
  [99/12000] B09 → 6  EV=3.65
  [100/12000] B10 → 1  EV=3.61

  Checkpoint: 100/12000 (1.0 prompts/sec)

