persona_id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30
s1,1,1,1,2,2,1,1,2,2,3,2,1,2,2,3,2,6,1,1,2,2,2,6,2,1,1,2,3,1,2
s2,6,6,6,6,6,1,4,6,6,6,1,6,6,6,3,6,6,6,6,6,6,6,6,6,1,2,1,6,6,6
s3,1,1,4,2,4,1,4,1,4,1,4,1,1,4,3,4,6,4,4,4,2,4,1,4,1,1,3,1,1,1
s4,6,6,3,7,1,1,4,1,6,1,6,7,6,6,3,6,6,6,6,6,3,6,6,3,1,2,6,6,6,6
s5,1,1,1,1,1,1,1,1,1,7,2,1,6,2,2,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1
s6,6,6,6,6,6,1,4,3,6,6,6,6,6,4,3,1,6,3,6,3,3,6,6,4,3,3,6,3,6,6
s7,3,1,1,4,7,1,4,1,7,3,1,4,2,4,3,3,6,1,1,1,4,1,1,4,1,1,7,1,4,1
s8,1,1,2,1,1,1,1,1,1,2,1,1,2,2,3,3,3,1,1,3,3,4,6,1,3,1,1,1,1,1
s9,3,1,4,4,4,1,4,1,3,3,1,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,1,3
s10,3,1,3,3,1,1,3,1,3,6,1,7,3,6,3,3,6,1,2,3,3,1,3,3,3,3,3,3,3,3
s11,3,1,2,1,1,1,1,1,1,1,1,1,1,4,3,1,6,1,6,3,3,1,4,1,1,1,1,3,1,1
s12,6,6,6,6,1,1,1,7,1,6,1,6,6,6,1,1,6,6,6,6,6,6,1,1,1,1,1,1,6,6
s13,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,1,6,6,6,1,6
s14,3,4,3,3,3,1,1,3,3,1,3,3,3,4,3,3,6,1,1,3,3,1,3,3,1,3,3,3,4,3
s15,6,6,6,6,1,1,1,6,6,1,1,6,6,6,6,1,6,6,6,6,6,1,6,6,1,6,1,6,6,6
s16,3,4,4,2,4,1,4,1,3,3,1,3,3,4,3,3,6,4,1,4,3,3,3,3,1,6,3,3,4,3
s17,6,6,6,6,1,1,1,3,3,6,1,6,6,3,3,3,6,3,6,3,3,6,6,3,1,3,3,3,6,6
s18,6,1,1,2,2,1,4,1,6,2,6,1,6,2,3,3,3,1,1,1,3,2,1,3,6,6,4,3,6,3
s19,1,1,1,1,1,1,1,1,1,1,6,1,1,4,1,1,6,1,1,4,1,1,1,1,6,3,1,1,1,1
s20,6,6,6,6,1,1,1,6,1,1,1,6,6,6,3,1,6,6,6,1,6,6,6,1,1,2,1,6,6,6
s21,6,1,1,3,4,1,4,1,4,6,1,1,1,4,3,1,6,6,1,4,3,1,4,3,1,3,4,3,6,3
s22,6,6,6,6,2,1,1,1,1,1,1,1,6,1,2,2,2,1,6,2,6,6,6,1,2,1,1,3,6,6
s23,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,2,1,1,1,2,1,1,1,1,1,1,1
s24,6,6,6,6,3,1,3,6,3,6,1,6,6,6,3,1,6,6,6,6,3,6,6,3,3,3,6,3,6,6
s25,6,6,6,6,3,1,3,1,3,6,1,6,6,6,3,1,6,3,6,6,3,6,6,3,3,3,6,3,6,6
s26,1,1,1,3,1,1,1,1,1,1,1,1,1,4,3,1,6,1,6,1,1,1,1,1,2,1,1,1,1,1
s27,1,1,6,7,1,1,1,1,1,1,1,7,6,1,1,1,2,1,1,2,3,2,7,2,1,1,1,3,6,1
s28,3,1,1,6,1,1,1,1,1,3,6,6,6,1,3,1,6,1,1,1,3,6,6,3,1,3,1,3,6,6
s29,3,3,3,6,1,1,4,3,3,6,6,3,6,3,3,3,6,3,3,3,3,1,3,3,3,3,4,3,1,6
s30,6,6,6,6,3,1,3,6,3,6,1,6,6,3,3,6,6,6,6,3,6,6,6,3,6,6,3,3,6,6
s31,6,6,6,6,1,1,1,6,1,6,1,6,6,6,1,6,6,6,6,6,6,1,6,3,3,3,1,6,6,6
s32,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,2,2,1,1,3,2,1,4,1,1,1,1,3,1,1
s33,6,6,6,6,1,1,1,7,1,6,6,6,6,1,3,1,6,1,6,1,6,6,1,1,1,1,1,1,6,6
s34,6,6,6,6,4,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6
s35,6,6,6,6,1,1,1,1,1,6,1,6,6,6,1,1,6,1,1,1,6,1,6,3,1,1,1,3,6,6
s36,3,6,1,2,1,1,1,1,1,1,3,1,6,6,3,3,6,6,6,3,2,3,1,1,1,1,1,3,2,1
s37,2,1,4,1,4,1,4,1,1,3,3,1,2,4,3,2,4,1,1,3,4,4,1,4,1,1,3,3,4,1
s38,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,2,7,7,1,1,1,1,2,1,1,1,1,3,1,1
s39,3,1,1,1,1,1,1,1,1,3,1,1,4,1,3,3,6,1,1,1,3,1,4,1,1,1,3,3,1,1
s40,6,6,3,6,1,1,6,6,6,6,1,6,6,6,6,1,6,6,6,6,6,6,6,6,1,3,1,6,1,6
s41,3,6,1,3,1,1,4,1,1,1,6,1,6,4,3,1,6,1,1,1,6,6,4,4,1,3,4,3,4,3
s42,6,6,6,6,1,1,4,6,4,6,6,6,6,6,4,1,6,6,6,3,6,6,6,4,6,3,3,3,6,6
s43,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,7,1,1,1,1,1,1,1,1,1,2,1,1,1
s44,2,1,2,2,4,1,4,1,1,1,7,1,4,4,1,1,6,1,1,1,2,4,6,4,7,1,3,3,1,1
