model,trait,format,prefix,neutral,method,layer,n_train,sign_correct_train,n_hold,sign_correct_hold,snr_train,snr_hold,mean_signed_hold,cv_acc,k_pcs_at_layer,cos_to_lda
Gemma27,H,chat,generic,scenario_setups,LDA,27,50,49,24,23,1.605824589729309,1.3477799892425537,119.43743896484375,1.0,,
Gemma27,H,chat,generic,scenario_setups,LR,27,50,50,24,20,5.51599611892665,1.3914128913343955,251.57946699354622,,,0.22151772034868727
Gemma27,H,chat,generic,scenario_setups,MD-raw,62,50,50,24,19,2.797914981842041,0.8903942108154297,7.978460311889648,,,0.10246404260396957
Gemma27,H,chat,generic,scenario_setups,MD-projected,33,50,50,24,21,3.077367067337036,1.126696228981018,567.1340942382812,,1,0.23895859718322754
Qwen32,H,chat,generic,scenario_setups,LDA,38,50,46,24,23,1.4664225578308105,1.4651039838790894,6.625885486602783,1.0,,
Qwen32,H,chat,generic,scenario_setups,LR,38,50,50,24,22,5.393923725477819,1.4949749501588345,14.013009492808793,,,0.25536290743739537
Qwen32,H,chat,generic,scenario_setups,MD-raw,45,50,50,24,19,2.6377384662628174,1.0615302324295044,18.647422790527344,,,0.2472858875989914
Qwen32,H,chat,generic,scenario_setups,MD-projected,45,50,50,24,19,2.6619977951049805,1.0640029907226562,18.725379943847656,,1,0.24951283633708954
Gemma4,H,chat,generic,scenario_setups,LDA,26,50,43,24,23,1.390596866607666,1.1957591772079468,0.8714146018028259,1.0,,
Gemma4,H,chat,generic,scenario_setups,LR,26,50,50,24,24,6.149446518527785,1.5912086438661805,4.854076479571179,,,0.08969806669717842
Gemma4,H,chat,generic,scenario_setups,MD-raw,37,50,50,24,24,3.038621425628662,1.3589847087860107,6.3964524269104,,,0.03513837233185768
Gemma4,H,chat,generic,scenario_setups,MD-projected,30,50,50,24,24,3.1099369525909424,1.4357584714889526,3.847735643386841,,6,0.05887095630168915
Aya,H,chat,generic,scenario_setups,LDA,11,50,40,24,19,1.1136473417282104,0.865536630153656,1.0361042022705078,0.9800000000000001,,
Aya,H,chat,generic,scenario_setups,LR,11,50,50,24,20,5.382107063287459,1.0977596893547208,1.9085704242726826,,,0.24609882427299318
Aya,H,chat,generic,scenario_setups,MD-raw,17,50,50,24,19,2.726938247680664,1.0016379356384277,3.462615966796875,,,0.2818566560745239
Aya,H,chat,generic,scenario_setups,MD-projected,17,50,50,24,19,2.7308554649353027,1.0049927234649658,3.4652111530303955,,1,0.28191959857940674
Aya,E,chat,generic,scenario_setups,LDA,6,50,45,24,22,1.3894264698028564,1.4382373094558716,0.6469675302505493,1.0,,
Aya,E,chat,generic,scenario_setups,LR,6,50,50,24,24,7.0056510945058985,2.483129003849666,1.7870466982515234,,,0.2908026263394342
Aya,E,chat,generic,scenario_setups,MD-raw,16,50,50,24,24,5.49758768081665,3.6413564682006836,4.7281174659729,,,0.14216771721839905
Aya,E,chat,generic,scenario_setups,MD-projected,16,50,50,24,24,5.53166389465332,3.674100637435913,4.734595775604248,,1,0.14202794432640076
Aya,X,chat,generic,scenario_setups,LDA,32,50,46,24,24,1.239378809928894,1.5189971923828125,8.333537101745605,1.0,,
Aya,X,chat,generic,scenario_setups,LR,32,50,50,24,24,8.116222088394364,2.2153946155706485,17.935180701730918,,,0.20157796875880227
Aya,X,chat,generic,scenario_setups,MD-raw,19,50,50,24,24,3.650287389755249,2.263418436050415,5.712486267089844,,,0.19947107136249542
Aya,X,chat,generic,scenario_setups,MD-projected,19,50,50,24,24,3.6466472148895264,2.270658254623413,5.715500354766846,,1,0.19954900443553925
Aya,A,chat,generic,scenario_setups,LDA,23,50,44,24,21,1.1229078769683838,1.2771122455596924,2.7460744380950928,1.0,,
Aya,A,chat,generic,scenario_setups,LR,23,50,50,24,23,7.0317342590685366,1.6660570002399995,5.791957856325958,,,0.2541937412265919
Aya,A,chat,generic,scenario_setups,MD-raw,30,50,50,24,23,3.4760072231292725,1.4307537078857422,11.770042419433594,,,0.3574906289577484
Aya,A,chat,generic,scenario_setups,MD-projected,17,50,50,24,24,3.4575843811035156,1.9427952766418457,4.058802127838135,,1,0.312343567609787
Aya,C,chat,generic,scenario_setups,LDA,9,50,45,24,23,1.1711022853851318,1.4167407751083374,1.1391352415084839,1.0,,
Aya,C,chat,generic,scenario_setups,LR,9,50,50,24,24,5.584829255876931,1.46687544359481,2.0700871597808463,,,0.20160450382163397
Aya,C,chat,generic,scenario_setups,MD-raw,32,50,50,24,23,3.417640209197998,1.4386826753616333,16.311586380004883,,,0.12093986570835114
Aya,C,chat,generic,scenario_setups,MD-projected,32,50,50,24,23,3.51855206489563,1.4561556577682495,15.007052421569824,,37,0.12497977167367935
Aya,O,chat,generic,scenario_setups,LDA,9,50,47,24,24,1.227160930633545,1.6762772798538208,0.8747126460075378,1.0,,
Aya,O,chat,generic,scenario_setups,LR,9,50,50,24,24,6.081677777060418,3.2070815518669757,2.0070597745443215,,,0.26131600888048145
Aya,O,chat,generic,scenario_setups,MD-raw,13,50,50,24,24,3.5289556980133057,3.883533000946045,3.7100327014923096,,,0.2804899513721466
Aya,O,chat,generic,scenario_setups,MD-projected,13,50,50,24,24,3.5436041355133057,3.8789496421813965,3.705702543258667,,1,0.2807174324989319
FalconMamba,H,chat,generic,scenario_setups,LDA,32,50,49,24,23,1.5166735649108887,1.224861979484558,0.6488483548164368,1.0,,
FalconMamba,H,chat,generic,scenario_setups,LR,32,50,50,24,23,4.187604161497788,1.227228005984759,1.0092531137664702,,,0.39917703165568424
FalconMamba,H,chat,generic,scenario_setups,MD-raw,28,50,50,24,21,2.6189513206481934,0.9846828579902649,0.6940548419952393,,,0.4114665985107422
FalconMamba,H,chat,generic,scenario_setups,MD-projected,0,50,50,24,17,2.7366480827331543,0.707823634147644,0.016073109582066536,,57,0.07926686108112335
FalconMamba,E,chat,generic,scenario_setups,LDA,12,50,45,24,19,1.155782699584961,0.8758668899536133,0.03644069656729698,1.0,,
FalconMamba,E,chat,generic,scenario_setups,LR,12,50,50,24,24,4.205039430168133,2.0082352585765033,0.13370639522327898,,,0.3939426327802763
FalconMamba,E,chat,generic,scenario_setups,MD-raw,26,50,50,24,24,5.614633083343506,2.8982162475585938,1.0079689025878906,,,0.19820868968963623
FalconMamba,E,chat,generic,scenario_setups,MD-projected,33,50,50,24,24,5.556879997253418,2.9338598251342773,1.587340235710144,,33,0.1777319759130478
FalconMamba,X,chat,generic,scenario_setups,LDA,24,50,44,24,24,1.2261433601379395,2.0311789512634277,0.3216838240623474,1.0,,
FalconMamba,X,chat,generic,scenario_setups,LR,24,50,50,24,24,4.996545998932531,2.5384626882435466,0.6252878230009914,,,0.3475615911551755
FalconMamba,X,chat,generic,scenario_setups,MD-raw,34,50,50,24,24,4.198846340179443,2.4206292629241943,1.7076009511947632,,,0.3384150266647339
FalconMamba,X,chat,generic,scenario_setups,MD-projected,25,50,50,24,24,4.269633769989014,2.834319829940796,0.7647466659545898,,38,0.4095492362976074
