model,trait,format,prefix,neutral,method,layer,n_train,sign_correct_train,n_hold,sign_correct_hold,snr_train,snr_hold,mean_signed_hold,cv_acc,k_pcs_at_layer,cos_to_lda
Llama,H,chat,generic,scenario_setups,LDA,12,50,48,24,24,1.4104365110397339,1.3927233219146729,0.4540962278842926,0.9800000000000001,,
Llama,H,chat,generic,scenario_setups,LR,12,50,50,24,20,4.090200654188373,1.1670527664836716,0.7116935593284867,,,0.3881974844150477
Llama,H,chat,generic,scenario_setups,MD-raw,5,50,50,24,17,2.5893919467926025,0.7767970561981201,0.22760321199893951,,,0.13875199854373932
Llama,H,chat,generic,scenario_setups,MD-projected,5,50,50,24,17,2.5894410610198975,0.7770863175392151,0.2276320904493332,,1,0.13881844282150269
Llama,H,bare,generic,scenario_setups,LDA,12,50,45,24,23,1.3963569402694702,1.4849040508270264,0.4749147891998291,0.9800000000000001,,
Llama,H,bare,generic,scenario_setups,LR,12,50,50,24,21,4.089110704706105,1.234736969033354,0.7290261441651099,,,0.3727477463424502
Llama,H,bare,generic,scenario_setups,MD-raw,5,50,50,24,17,2.508280038833618,0.8277978897094727,0.2717941701412201,,,0.13444258272647858
Llama,H,bare,generic,scenario_setups,MD-projected,12,50,50,24,21,2.6765923500061035,1.1379512548446655,0.7507475018501282,,25,0.4852944016456604
Llama,E,chat,generic,scenario_setups,LDA,4,50,46,24,20,1.392296314239502,1.2298020124435425,0.11202174425125122,1.0,,
Llama,E,chat,generic,scenario_setups,LR,4,50,50,24,24,4.423376075577014,2.179370827844604,0.28260956535696397,,,0.38443974236657424
Llama,E,chat,generic,scenario_setups,MD-raw,12,50,50,24,24,5.572535037994385,3.4510366916656494,1.221897006034851,,,0.13198962807655334
Llama,E,chat,generic,scenario_setups,MD-projected,12,50,50,24,24,5.576674461364746,3.4497296810150146,1.221301794052124,,1,0.13205073773860931
Llama,E,bare,generic,scenario_setups,LDA,10,50,47,24,21,1.7844090461730957,1.4334663152694702,0.3389085829257965,1.0,,
Llama,E,bare,generic,scenario_setups,LR,10,50,50,24,24,6.510930471154773,2.700969467255963,0.950086329597832,,,0.35942754118339404
