model,trait,format,prefix,neutral,method,layer,n_train,sign_correct_train,n_hold,sign_correct_hold,snr_train,snr_hold,mean_signed_hold,cv_acc,k_pcs_at_layer,cos_to_lda
Gemma12,H,chat,generic,scenario_setups,LDA,23,50,47,24,22,1.527429461479187,1.2281169891357422,142.40194702148438,1.0,,
Gemma12,H,chat,generic,scenario_setups,LR,23,50,50,24,24,5.540415439298623,1.6700521851426013,295.63885323311314,,,0.22372413422903625
Gemma12,H,chat,generic,scenario_setups,MD-raw,37,50,50,24,20,2.7823712825775146,1.001657485961914,1019.1318359375,,,0.13534149527549744
Gemma12,H,chat,generic,scenario_setups,MD-projected,25,50,50,24,22,3.1203882694244385,1.2327845096588135,374.7064208984375,,1,0.2988969683647156
Gemma12,H,bare,generic,scenario_setups,LDA,22,50,47,24,22,1.3652493953704834,1.080476999282837,112.50785064697266,1.0,,
Gemma12,H,bare,generic,scenario_setups,LR,22,50,50,24,23,5.7901409000744515,1.6163462821491987,245.36972001176574,,,0.18595894658786724
Gemma12,H,bare,generic,scenario_setups,MD-raw,38,50,50,24,19,2.497568130493164,0.831104040145874,1149.2962646484375,,,0.11288642138242722
Gemma12,H,bare,generic,scenario_setups,MD-projected,25,50,50,24,21,2.6978416442871094,1.0569621324539185,398.8919677734375,,1,0.24594846367835999
Gemma12,E,chat,generic,scenario_setups,LDA,17,50,47,24,24,1.7247705459594727,2.3467941284179688,42.75448989868164,1.0,,
Gemma12,E,chat,generic,scenario_setups,LR,17,50,50,24,24,6.721003045003886,2.8202940963483965,200.52231091553077,,,0.18536263210891454
Gemma12,E,chat,generic,scenario_setups,MD-raw,31,50,50,24,24,4.722815990447998,3.0011935234069824,1172.017578125,,,0.11155607551336288
Gemma12,E,chat,generic,scenario_setups,MD-projected,22,50,50,24,24,6.221462249755859,3.3788411617279053,369.645263671875,,1,0.19218771159648895
Gemma12,E,bare,generic,scenario_setups,LDA,17,50,46,24,23,1.629055142402649,2.081338405609131,40.749324798583984,1.0,,
Gemma12,E,bare,generic,scenario_setups,LR,17,50,50,24,23,6.77297373408969,2.613778036897096,202.0696815164838,,,0.18712890424258571
Gemma12,E,bare,generic,scenario_setups,MD-raw,35,50,50,24,24,3.7989394664764404,2.4362189769744873,1890.8507080078125,,,0.10599972307682037
Gemma12,E,bare,generic,scenario_setups,MD-projected,22,50,50,24,24,5.838155269622803,3.531510353088379,361.3010559082031,,1,0.17996475100517273
Gemma12,X,chat,generic,scenario_setups,LDA,21,50,44,24,24,1.5249227285385132,2.13144850730896,110.2313461303711,1.0,,
Gemma12,X,chat,generic,scenario_setups,LR,21,50,50,24,24,5.7669916305619005,2.370988175217194,259.6172788703104,,,0.24445750908950015
Gemma12,X,chat,generic,scenario_setups,MD-raw,48,50,50,24,24,3.608126163482666,2.293112277984619,15.325285911560059,,,0.12259888648986816
Gemma12,X,chat,generic,scenario_setups,MD-projected,20,50,50,24,24,3.852242946624756,2.1341376304626465,224.26239013671875,,1,0.3034813404083252
